TYPE,LDA 128,LDA 128,LDA 144,LDA+U 64,GGA 64,GGA 144,GGA 216,GAP
hexagonal,2.94,3.99,,3.66,3.97,,3.54,3.17
tetragonal,3.19,3.84,4.1,3.57,3.78,3.1,3.02,2.72
split,2.29,3.55,3.6,3.17,3.5,3.1,2.99,2.64
bond-center,,,,,5.1,,4.19,3.87
